ID,Start_Time,Start_Lat,Start_Lng,Weather_Condition
A00001,2023-01-01 06:00:00,34.05,-118.25,Clear
A00002,2023-01-01 12:00:00,34.059999999999995,-118.26,Rain
A00003,2023-01-01 18:00:00,34.07,-118.27,Fog
A00004,2023-01-02 00:00:00,34.08,-118.28,Clear
A00005,2023-01-02 06:00:00,34.089999999999996,-118.29,Cloudy
A00006,2023-01-02 12:00:00,34.099999999999994,-118.3,Rain
A00007,2023-01-02 18:00:00,34.11,-118.31,Clear
A00008,2023-01-03 00:00:00,34.12,-118.32,Snow
A00009,2023-01-03 06:00:00,34.129999999999995,-118.33,Rain
A00010,2023-01-03 12:00:00,34.14,-118.34,Fog
A00011,2023-01-03 18:00:00,34.15,-118.35,Clear
A00012,2023-01-04 00:00:00,34.16,-118.36,Cloudy
A00013,2023-01-04 06:00:00,34.169999999999995,-118.37,Rain
A00014,2023-01-04 12:00:00,34.18,-118.38,Clear
A00015,2023-01-04 18:00:00,34.19,-118.39,Snow
A00016,2023-01-05 00:00:00,34.199999999999996,-118.4,Cloudy
A00017,2023-01-05 06:00:00,34.209999999999994,-118.41,Rain
A00018,2023-01-05 12:00:00,34.22,-118.42,Fog
A00019,2023-01-05 18:00:00,34.23,-118.43,Clear
A00020,2023-01-06 00:00:00,34.239999999999995,-118.44,Clear
